prompt_index,prompt_text,completion_index,completion,full_text,reached_end
66,A review of Keanu,0," Reeves’s new film, John Wick, is not only a must-see for action fans, but also a great opportunity to see the actor in a new light.

John Wick is a character who has been around for decades. He’s been in countless action movies, including The Matrix, Point Break, and The Day the Earth Stood Still. But in John Wick, Reeves gives the character a new spin.

John Wick is a retired hitman who returns to his life of crime after a woman he loves is killed. The film is a classic revenge tale, but it’s","A review of Keanu Reeves’s new film, John Wick, is not only a must-see for action fans, but also a great opportunity to see the actor in a new light.

John Wick is a character who has been around for decades. He’s been in countless action movies, including The Matrix, Point Break, and The Day the Earth Stood Still. But in John Wick, Reeves gives the character a new spin.

John Wick is a retired hitman who returns to his life of crime after a woman he loves is killed. The film is a classic revenge tale, but it’s",false
67,A review of The Gunman,0," by John Banville

The Gunman

John Banville

The Penguin Press

The Gunman by John Banville is a short novel. It is also a good one. It is not a novel of ideas. It is not a novel of the mind. It is a novel of the heart. It is a novel of the soul. It is a novel of the imagination. It is a novel of the imagination of the heart. It is a novel of the imagination of the soul. It is a novel of the imagination of the heart. It is a novel of the imagination of the heart. It is a novel of the","A review of The Gunman by John Banville

The Gunman

John Banville

The Penguin Press

The Gunman by John Banville is a short novel. It is also a good one. It is not a novel of ideas. It is not a novel of the mind. It is a novel of the heart. It is a novel of the soul. It is a novel of the imagination. It is a novel of the imagination of the heart. It is a novel of the imagination of the soul. It is a novel of the imagination of the heart. It is a novel of the imagination of the heart. It is a novel of the",false
68,A review of Steve Jobs,0," by Walter Isaacson, published by Simon & Schuster, is the most comprehensive biography of the Apple co-founder and CEO. It is also the most entertaining.

Isaacson, a former editor of Time magazine, is a good writer, but he is not a great one. His prose is too formal, too stiff, too much like a corporate press release. He is also too eager to make Apple the hero of the story, and to portray Jobs as a visionary genius.

But he is a good reporter, and his reporting is what makes this book worth","A review of Steve Jobs by Walter Isaacson, published by Simon & Schuster, is the most comprehensive biography of the Apple co-founder and CEO. It is also the most entertaining.

Isaacson, a former editor of Time magazine, is a good writer, but he is not a great one. His prose is too formal, too stiff, too much like a corporate press release. He is also too eager to make Apple the hero of the story, and to portray Jobs as a visionary genius.

But he is a good reporter, and his reporting is what makes this book worth",false
69,A review of Whisky Galore,0,"!

A review of Whisky Galore!

The classic film Whisky Galore! is now available on DVD.

The film, which was made in the 1950s, tells the story of the crew of the SS Politician, a cargo ship carrying whisky from the US to the UK.

The ship is hijacked by the Germans and the crew must make their way to the safety of the Shetland Islands.

The film stars John Mills, Robert Newton, Kenneth More and John Le Mesurier.

","A review of Whisky Galore!

A review of Whisky Galore!

The classic film Whisky Galore! is now available on DVD.

The film, which was made in the 1950s, tells the story of the crew of the SS Politician, a cargo ship carrying whisky from the US to the UK.

The ship is hijacked by the Germans and the crew must make their way to the safety of the Shetland Islands.

The film stars John Mills, Robert Newton, Kenneth More and John Le Mesurier.

",true
70,A review of Grown Ups 2,0,"

Grown Ups 2 is a film that was released in 2012. It is the sequel to the original Grown Ups, which was released in 2010. The original Grown Ups was a huge success, and it was a surprise hit, and it was a surprise hit because it was a comedy.

The sequel, Grown Ups 2, was released in 2012. It was directed by Adam Sandler, and it was written by Sandler and Chris McKenna. The film stars Adam Sandler, Chris Rock, Kevin James, Terry Crews, Nick Swardson, Rob Schneider, and Salma Hayek.

The film","A review of Grown Ups 2

Grown Ups 2 is a film that was released in 2012. It is the sequel to the original Grown Ups, which was released in 2010. The original Grown Ups was a huge success, and it was a surprise hit, and it was a surprise hit because it was a comedy.

The sequel, Grown Ups 2, was released in 2012. It was directed by Adam Sandler, and it was written by Sandler and Chris McKenna. The film stars Adam Sandler, Chris Rock, Kevin James, Terry Crews, Nick Swardson, Rob Schneider, and Salma Hayek.

The film",false
71,A review of The Age of Adaline,0,"

The Age of Adaline is a film about a woman who, at the age of 29, suddenly wakes up in the year 1928.

Adaline (Blake Lively) is a woman who is not only a beauty but also a very successful businesswoman.

Her life is perfect, but when she wakes up in 1928, she is not the same Adaline she was before.

She is also in love with a man named Henry (Jason Clarke).

Henry is a widower who is also in love with Adaline.

He is also in love with a woman named Beth (Maggie Grace).

Adaline is a very","A review of The Age of Adaline

The Age of Adaline is a film about a woman who, at the age of 29, suddenly wakes up in the year 1928.

Adaline (Blake Lively) is a woman who is not only a beauty but also a very successful businesswoman.

Her life is perfect, but when she wakes up in 1928, she is not the same Adaline she was before.

She is also in love with a man named Henry (Jason Clarke).

Henry is a widower who is also in love with Adaline.

He is also in love with a woman named Beth (Maggie Grace).

Adaline is a very",false
72,A review of The Incredible Hulk,0," #1 by Jeph Loeb and Tim Sale

The Incredible Hulk #1 is the first issue of a new ongoing series written by Jeph Loeb and Tim Sale. Loeb has written a number of Marvel comics in the past, including Thor, Iron Man, and Daredevil. Sale is best known for his work on the X-Men, and has written several other Marvel titles, including X-Factor, and New Mutants.

The Incredible Hulk #1 is a re-imagining of the character, and it is not the first time that the character has been reimagined. The character","A review of The Incredible Hulk #1 by Jeph Loeb and Tim Sale

The Incredible Hulk #1 is the first issue of a new ongoing series written by Jeph Loeb and Tim Sale. Loeb has written a number of Marvel comics in the past, including Thor, Iron Man, and Daredevil. Sale is best known for his work on the X-Men, and has written several other Marvel titles, including X-Factor, and New Mutants.

The Incredible Hulk #1 is a re-imagining of the character, and it is not the first time that the character has been reimagined. The character",false
73,A review of Couples Retreat,0,"s, a new book by a couple who are in a committed relationship and have been married for more than 20 years.

The book is about their experiences in the world of sex and relationships.

It's not a how - to book, but rather a book about the ups and downs of relationships.

It's not a book about how to have sex, but rather a book about how to have sex when you don't have sex.

It's a book about how to communicate with your partner.

It's a book about how to love your partner.

It's a book about how","A review of Couples Retreats, a new book by a couple who are in a committed relationship and have been married for more than 20 years.

The book is about their experiences in the world of sex and relationships.

It's not a how - to book, but rather a book about the ups and downs of relationships.

It's not a book about how to have sex, but rather a book about how to have sex when you don't have sex.

It's a book about how to communicate with your partner.

It's a book about how to love your partner.

It's a book about how",false
74,A review of Absolutely Anything,0,"

Absolutely Anything (2016)

Directed by Terry Jones

Starring Simon Pegg, Nick Frost, Eddie Izzard, Bill Bailey, Rebecca Front, and Terry Gilliam

Rating – ★★★☆☆

Terry Jones is one of the most prolific comedy writers of all time. He has written for Monty Python, The Mighty Boosh, and The League of Gentlemen, amongst many others. He has also directed several films, including the cult classic Monty Python and the Holy Grail (1975). His latest film, Absolutely Anything, is a surreal, absurdist","A review of Absolutely Anything

Absolutely Anything (2016)

Directed by Terry Jones

Starring Simon Pegg, Nick Frost, Eddie Izzard, Bill Bailey, Rebecca Front, and Terry Gilliam

Rating – ★★★☆☆

Terry Jones is one of the most prolific comedy writers of all time. He has written for Monty Python, The Mighty Boosh, and The League of Gentlemen, amongst many others. He has also directed several films, including the cult classic Monty Python and the Holy Grail (1975). His latest film, Absolutely Anything, is a surreal, absurdist",false
75,A review of Magic Mike,0," XXL

Magic Mike XXL

Directed by Steven Soderbergh

Starring Channing Tatum, Matthew McConaughey, Alex Pettyfer, Joe Manganiello, Amanda Seyfried, Jenna Dewan Tatum, and more

Rated R

1 hr. 59 min.

The world of male strippers is a strange one. They are not, in the strictest sense, a ""job."" They are a lifestyle, a way of life. And it's a lifestyle that has been around for decades, in one form or another. The world of male strippers is a world that is not for the faint of heart. It's a world","A review of Magic Mike XXL

Magic Mike XXL

Directed by Steven Soderbergh

Starring Channing Tatum, Matthew McConaughey, Alex Pettyfer, Joe Manganiello, Amanda Seyfried, Jenna Dewan Tatum, and more

Rated R

1 hr. 59 min.

The world of male strippers is a strange one. They are not, in the strictest sense, a ""job."" They are a lifestyle, a way of life. And it's a lifestyle that has been around for decades, in one form or another. The world of male strippers is a world that is not for the faint of heart. It's a world",false
76,A review of Minions,0,": Minion Mayhem, the game that has taken over the internet

Minions: Minion Mayhem is a game that has taken over the internet. It's a game where you control the minions, the little yellow creatures that have become the new mascot for the Despicable Me franchise. The game is a free download on the App Store and Google Play, and it's a lot of fun.

Minions: Minion Mayhem is a game where you control the minions, the little yellow creatures that have become the new mascot for the Despicable Me","A review of Minions: Minion Mayhem, the game that has taken over the internet

Minions: Minion Mayhem is a game that has taken over the internet. It's a game where you control the minions, the little yellow creatures that have become the new mascot for the Despicable Me franchise. The game is a free download on the App Store and Google Play, and it's a lot of fun.

Minions: Minion Mayhem is a game where you control the minions, the little yellow creatures that have become the new mascot for the Despicable Me",false
77,A review of The Black Room,0,": A Novel of Suspense by James Patterson and Marshall Karp

A review of The Black Room: A Novel of Suspense by James Patterson and Marshall Karp

The Black Room: A Novel of Suspense

James Patterson and Marshall Karp

Little, Brown and Company

2017

The Black Room is the latest thriller from James Patterson and Marshall Karp, and it is the first in a new series of books that are being published under the pseudonym of Alex Cross.

The book begins with a mysterious man named Tom who is sitting in","A review of The Black Room: A Novel of Suspense by James Patterson and Marshall Karp

A review of The Black Room: A Novel of Suspense by James Patterson and Marshall Karp

The Black Room: A Novel of Suspense

James Patterson and Marshall Karp

Little, Brown and Company

2017

The Black Room is the latest thriller from James Patterson and Marshall Karp, and it is the first in a new series of books that are being published under the pseudonym of Alex Cross.

The book begins with a mysterious man named Tom who is sitting in",false
78,A review of Bronson,0," Arroyo's start

Skip in Skip x Embed x Share CLOSE Cincinnati Reds starting pitcher Bronson Arroyo talks about his start against the St. Louis Cardinals on Wednesday, Sept. 27, 2017. Wochit

Cincinnati Reds starting pitcher Bronson Arroyo (43) throws during the first inning of the MLB National League game between the Cincinnati Reds and the St. Louis Cardinals at Great American Ball Park in downtown Cincinnati on Friday, June 23, 2017. (Photo: Sam Greene)

The Reds announced they have signed","A review of Bronson Arroyo's start

Skip in Skip x Embed x Share CLOSE Cincinnati Reds starting pitcher Bronson Arroyo talks about his start against the St. Louis Cardinals on Wednesday, Sept. 27, 2017. Wochit

Cincinnati Reds starting pitcher Bronson Arroyo (43) throws during the first inning of the MLB National League game between the Cincinnati Reds and the St. Louis Cardinals at Great American Ball Park in downtown Cincinnati on Friday, June 23, 2017. (Photo: Sam Greene)

The Reds announced they have signed",false
79,A review of Despicable Me,0," 2

By: Greg Sacidor

I remember the first time I saw the Despicable Me franchise. I was a little kid and I remember being mesmerized by the first movie. I was amazed by the animated characters and the story line. I was also amazed by the fact that the movie was only about an hour and a half long.

I remember thinking that the movie was perfect for kids and that it was something that adults could enjoy as well.

I was wrong.

The Despicable Me franchise has grown and evolved into something that","A review of Despicable Me 2

By: Greg Sacidor

I remember the first time I saw the Despicable Me franchise. I was a little kid and I remember being mesmerized by the first movie. I was amazed by the animated characters and the story line. I was also amazed by the fact that the movie was only about an hour and a half long.

I remember thinking that the movie was perfect for kids and that it was something that adults could enjoy as well.

I was wrong.

The Despicable Me franchise has grown and evolved into something that",false
80,A review of The Best of Me,0," by Nicholas Sparks

The Best of Me

Nicholas Sparks

HarperCollins

September 5, 2017

I read The Best of Me in one sitting. I couldn't put it down. I was hooked from the first page.

I've read many of Nicholas Sparks' books, and I have to say, I've enjoyed most of them. I have to admit, though, that The Best of Me is the best of his books.

The story is about a man named Logan who is the only son of a wealthy family. Logan has always been a good boy, but he's not the most popular guy in school","A review of The Best of Me by Nicholas Sparks

The Best of Me

Nicholas Sparks

HarperCollins

September 5, 2017

I read The Best of Me in one sitting. I couldn't put it down. I was hooked from the first page.

I've read many of Nicholas Sparks' books, and I have to say, I've enjoyed most of them. I have to admit, though, that The Best of Me is the best of his books.

The story is about a man named Logan who is the only son of a wealthy family. Logan has always been a good boy, but he's not the most popular guy in school",false
81,A review of The Invitation,0,"

The Invitation is a movie that was released in 2014. It was directed by Karyn Kusama, and stars Keanu Reeves, Charlotte Gainsbourg, and John Goodman. The movie is about a man named Garrett who has been invited to a dinner party at his ex-wife’s house. He is a little worried about going, but he goes anyways. The dinner party is being hosted by his ex-wife’s new husband, and it is a very strange dinner party.

The movie is very strange, and it is a very slow movie. It is a very slow movie","A review of The Invitation

The Invitation is a movie that was released in 2014. It was directed by Karyn Kusama, and stars Keanu Reeves, Charlotte Gainsbourg, and John Goodman. The movie is about a man named Garrett who has been invited to a dinner party at his ex-wife’s house. He is a little worried about going, but he goes anyways. The dinner party is being hosted by his ex-wife’s new husband, and it is a very strange dinner party.

The movie is very strange, and it is a very slow movie. It is a very slow movie",false
82,A review of Zero Dark Thirty,0,"

Zero Dark Thirty

Directed by Kathryn Bigelow

Starring Jessica Chastain, Mark Boal, Jason Clarke, Jeremy Renner, Michael Fassbender, Bill Camp, William Fichtner, Anabelle Wallis, and Jeremy Renner

Released in the US on December 19, 2012

Zero Dark Thirty is a film about the hunt for Osama Bin Laden. It is also a film about the US military’s hunt for Bin Laden. The film is also a film about the hunt for Bin Laden’s wife, Amal, and the hunt for the courier who delivered the video of Bin Laden’","A review of Zero Dark Thirty

Zero Dark Thirty

Directed by Kathryn Bigelow

Starring Jessica Chastain, Mark Boal, Jason Clarke, Jeremy Renner, Michael Fassbender, Bill Camp, William Fichtner, Anabelle Wallis, and Jeremy Renner

Released in the US on December 19, 2012

Zero Dark Thirty is a film about the hunt for Osama Bin Laden. It is also a film about the US military’s hunt for Bin Laden. The film is also a film about the hunt for Bin Laden’s wife, Amal, and the hunt for the courier who delivered the video of Bin Laden’",false
83,A review of Tangled,0," Up in Blue, by Steve Earle

Steve Earle has always been a little bit of a rebel. He was a founding member of the punk band The Blasters, and he was a member of the outlaw country band The Dukes of Hazzard, but he’s also been a member of the bluegrass band The Seldom Scene for over three decades. He’s been a member of the band since 1981, and he’s been a member of the bluegrass supergroup The Infamous Stringdusters since 2011.

He’s also been a member of the bluegrass supergroup The Infamous","A review of Tangled Up in Blue, by Steve Earle

Steve Earle has always been a little bit of a rebel. He was a founding member of the punk band The Blasters, and he was a member of the outlaw country band The Dukes of Hazzard, but he’s also been a member of the bluegrass band The Seldom Scene for over three decades. He’s been a member of the band since 1981, and he’s been a member of the bluegrass supergroup The Infamous Stringdusters since 2011.

He’s also been a member of the bluegrass supergroup The Infamous",false
84,A review of The Hunger Games: Mockingjay - Part 2,0,"

The Hunger Games: Mockingjay – Part 2

Starring: Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Elizabeth Banks, Julianne Moore, Jeffrey Wright, Donald Sutherland, Philip Seymour Hoffman, Jena Malone, Jeffrey Wright, Woody Harrelson, Sam Claflin, Teresa Palmer, Philip Seymour Hoffman, Wes Chatham, Amandla Stenberg, and Jena Malone

Directed by: Francis Lawrence

Written by: Peter Craig, Danny Strong, and Suzanne Collins

Rating: PG-13 (US) Running Time: 2 hr. 15 min.

Two and a half stars","A review of The Hunger Games: Mockingjay - Part 2

The Hunger Games: Mockingjay – Part 2

Starring: Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Elizabeth Banks, Julianne Moore, Jeffrey Wright, Donald Sutherland, Philip Seymour Hoffman, Jena Malone, Jeffrey Wright, Woody Harrelson, Sam Claflin, Teresa Palmer, Philip Seymour Hoffman, Wes Chatham, Amandla Stenberg, and Jena Malone

Directed by: Francis Lawrence

Written by: Peter Craig, Danny Strong, and Suzanne Collins

Rating: PG-13 (US) Running Time: 2 hr. 15 min.

Two and a half stars",false
85,A review of Vacation,0," Bible School in the New Testament

The Bible is a book of stories. Stories of people, places, and things. Stories of love, betrayal, and redemption. Stories of God's faithfulness and love.

The Bible is also a book of stories about Vacation Bible School.

The Bible is a book of stories about Vacation Bible School.

The Bible is a book of stories about Vacation Bible School.

The Bible is a book of stories about Vacation Bible School.

The Bible is a book of stories about Vacation Bible School.
","A review of Vacation Bible School in the New Testament

The Bible is a book of stories. Stories of people, places, and things. Stories of love, betrayal, and redemption. Stories of God's faithfulness and love.

The Bible is also a book of stories about Vacation Bible School.

The Bible is a book of stories about Vacation Bible School.

The Bible is a book of stories about Vacation Bible School.

The Bible is a book of stories about Vacation Bible School.

The Bible is a book of stories about Vacation Bible School.
",false
86,A review of Taken,0," by Storm: The Rise of the New Global Superpower by Michael Auslin.

The United States has been the world’s sole superpower since the end of World War II. But the country’s global influence is in decline, according to Michael Auslin, a resident scholar at the American Enterprise Institute and author of Taken by Storm: The Rise of the New Global Superpower.

Auslin argues that the U.S. is no longer the world’s most powerful country. Instead, China is.

Auslin argues that China is the world’s most","A review of Taken by Storm: The Rise of the New Global Superpower by Michael Auslin.

The United States has been the world’s sole superpower since the end of World War II. But the country’s global influence is in decline, according to Michael Auslin, a resident scholar at the American Enterprise Institute and author of Taken by Storm: The Rise of the New Global Superpower.

Auslin argues that the U.S. is no longer the world’s most powerful country. Instead, China is.

Auslin argues that China is the world’s most",false
87,A review of Pitch Perfect 2,0,", the sequel to the hit movie musical.

A review of Pitch Perfect 2, the sequel to the hit movie musical.

A review of Pitch Perfect 2, the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit","A review of Pitch Perfect 2, the sequel to the hit movie musical.

A review of Pitch Perfect 2, the sequel to the hit movie musical.

A review of Pitch Perfect 2, the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit movie musical.

Pitch Perfect 2 is the sequel to the hit",false
88,A review of Monsters University,0,"

The reviews are in, and they’re not good.

In Monsters University, Pixar has taken the well-trodden path of creating a movie about a college that’s run by monsters. The film follows Mike Wazowski (John Goodman), a janitor who’s obsessed with monsters and is the only human student at Monsters University. He’s joined by his best friend, Sulley (Billy Crystal), a janitor who’s obsessed with cleaning, and they’re joined by Boo (Sophia Bush), a girl who’s obsessed with monsters.

The film is a re","A review of Monsters University

The reviews are in, and they’re not good.

In Monsters University, Pixar has taken the well-trodden path of creating a movie about a college that’s run by monsters. The film follows Mike Wazowski (John Goodman), a janitor who’s obsessed with monsters and is the only human student at Monsters University. He’s joined by his best friend, Sulley (Billy Crystal), a janitor who’s obsessed with cleaning, and they’re joined by Boo (Sophia Bush), a girl who’s obsessed with monsters.

The film is a re",false
89,A review of Elle,0," magazine's latest issue is getting a lot of attention for its cover, which features a woman in a hijab with the headline ""Is it OK to date a Muslim?""

The cover has sparked a lot of debate on social media, with some people praising the magazine for tackling the issue and others criticizing the magazine for ""normalizing"" Islam.

Elle's editor-in-chief, Robbie Myers, defended the cover in a Facebook post on Monday, saying the cover was not meant to be offensive.

""We have been in touch with the","A review of Elle magazine's latest issue is getting a lot of attention for its cover, which features a woman in a hijab with the headline ""Is it OK to date a Muslim?""

The cover has sparked a lot of debate on social media, with some people praising the magazine for tackling the issue and others criticizing the magazine for ""normalizing"" Islam.

Elle's editor-in-chief, Robbie Myers, defended the cover in a Facebook post on Monday, saying the cover was not meant to be offensive.

""We have been in touch with the",false
90,A review of Mechanic: Resurrection,0,"

Mechanic: Resurrection (PS4) – the best game of the year?

The best game of the year is a little bit of a cheat, but it's still a fantastic platformer that's not afraid to go for broke.

The first thing you'll notice about Mechanic: Resurrection is that it's a very different game to the original. It's a little more forgiving, a little more forgiving of mistakes, and a little less forgiving of the player. It's a game that's very much about the journey, not the destination, and it's a game that","A review of Mechanic: Resurrection

Mechanic: Resurrection (PS4) – the best game of the year?

The best game of the year is a little bit of a cheat, but it's still a fantastic platformer that's not afraid to go for broke.

The first thing you'll notice about Mechanic: Resurrection is that it's a very different game to the original. It's a little more forgiving, a little more forgiving of mistakes, and a little less forgiving of the player. It's a game that's very much about the journey, not the destination, and it's a game that",false
91,A review of Tusk,0," by John Crace

Tusk is a book about a man who has a very large head. He has a very large head because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very","A review of Tusk by John Crace

Tusk is a book about a man who has a very large head. He has a very large head because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very large man. He is a very large man because he is a very",false
92,A review of The Headhunter's Calling,0," by Joe McGinniss

A review of The Headhunter's Calling by Joe McGinniss

The Headhunter's Calling

Joe McGinniss

(Simon & Schuster, 2016)

Joe McGinniss is a man who has written a lot of books. His latest, The Headhunter's Calling, is a memoir of his time as a journalist, which is the most interesting thing about it. The writing is competent, but the book is a slog.

The book begins with a recounting of his time as a reporter for the Boston Globe, which was a miserable time. He was young and","A review of The Headhunter's Calling by Joe McGinniss

A review of The Headhunter's Calling by Joe McGinniss

The Headhunter's Calling

Joe McGinniss

(Simon & Schuster, 2016)

Joe McGinniss is a man who has written a lot of books. His latest, The Headhunter's Calling, is a memoir of his time as a journalist, which is the most interesting thing about it. The writing is competent, but the book is a slog.

The book begins with a recounting of his time as a reporter for the Boston Globe, which was a miserable time. He was young and",false
93,A review of Atonement,0,", the 2007 film adaptation of Ian McEwan’s novel of the same name, has been published in the Guardian. The reviewer, Peter Bradshaw, is not a fan:

Atonement is a film of the most shallow, self-indulgent, and uninteresting kind. It is also a film that is so self-consciously “art” that it is almost impossible to take seriously. It is a film that is so self-consciously “experimental” that it is almost impossible to take seriously. It is a film that is so self-consciously “experimental” that it is","A review of Atonement, the 2007 film adaptation of Ian McEwan’s novel of the same name, has been published in the Guardian. The reviewer, Peter Bradshaw, is not a fan:

Atonement is a film of the most shallow, self-indulgent, and uninteresting kind. It is also a film that is so self-consciously “art” that it is almost impossible to take seriously. It is a film that is so self-consciously “experimental” that it is almost impossible to take seriously. It is a film that is so self-consciously “experimental” that it is",false
94,A review of Harry Potter and the Deathly Hallows: Part 1,0,"

Harry Potter and the Deathly Hallows: Part 1

Hang on for a minute...we're trying to find some more stories you might like.

Close

Email This Story

Send Email Cancel

I'm not going to lie, I was not a huge fan of the first book in the series. I didn't hate it, but I didn't love it either. I was more of a fan of the first two movies. I think the reason I didn't like the first book was because I was reading it during the summer and it was just too much. I was so busy that I didn't have time to","A review of Harry Potter and the Deathly Hallows: Part 1

Harry Potter and the Deathly Hallows: Part 1

Hang on for a minute...we're trying to find some more stories you might like.

Close

Email This Story

Send Email Cancel

I'm not going to lie, I was not a huge fan of the first book in the series. I didn't hate it, but I didn't love it either. I was more of a fan of the first two movies. I think the reason I didn't like the first book was because I was reading it during the summer and it was just too much. I was so busy that I didn't have time to",false
95,A review of Shame,0," by Tracey Emin

Shame, Tracey Emin, 2003

In the late 1990s, Tracey Emin was in a state of crisis. She had been diagnosed with bipolar disorder, and her life had been turned upside down by a series of relationships that had gone badly wrong. In her autobiography, I Know Why the Caged Bird Sings, she describes how she was a ""giant, feral, unruly child"" who was ""born with a cleft palate and a club foot"". Her mother was an alcoholic, and her father was a violent alcoholic. She was sexually abused","A review of Shame by Tracey Emin

Shame, Tracey Emin, 2003

In the late 1990s, Tracey Emin was in a state of crisis. She had been diagnosed with bipolar disorder, and her life had been turned upside down by a series of relationships that had gone badly wrong. In her autobiography, I Know Why the Caged Bird Sings, she describes how she was a ""giant, feral, unruly child"" who was ""born with a cleft palate and a club foot"". Her mother was an alcoholic, and her father was a violent alcoholic. She was sexually abused",false
96,A review of Hanna,0," Rosin's The End of Men

By

I read Hanna Rosin's book The End of Men. I found it to be a good read, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a","A review of Hanna Rosin's The End of Men

By

I read Hanna Rosin's book The End of Men. I found it to be a good read, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a good book, but not a great book. It is a",false
97,A review of The Babysitters,0," Club: Summer Vacation by Ann M. Martin

I’ve read a lot of books for young adults, and I’ve read a lot of books for adults. I’ve read a lot of books that are very similar to one another, and I’ve read a lot of books that are very different from one another. I’ve read a lot of books that I’ve loved, and I’ve read a lot of books that I’ve hated. I’ve read a lot of books that I’ve thought were so bad that I couldn’t even finish them, and I’ve read a lot of books that I’ve thought were so good that","A review of The Babysitters Club: Summer Vacation by Ann M. Martin

I’ve read a lot of books for young adults, and I’ve read a lot of books for adults. I’ve read a lot of books that are very similar to one another, and I’ve read a lot of books that are very different from one another. I’ve read a lot of books that I’ve loved, and I’ve read a lot of books that I’ve hated. I’ve read a lot of books that I’ve thought were so bad that I couldn’t even finish them, and I’ve read a lot of books that I’ve thought were so good that",false
98,A review of Pride and Prejudice and Zombies,0," by Seth Grahame-Smith

Pride and Prejudice and Zombies by Seth Grahame-Smith

Pride and Prejudice and Zombies is a book that I am very excited about. It is a parody of Jane Austen’s Pride and Prejudice, with zombies added to the mix. I am not a big fan of Jane Austen, but I am a big fan of zombies. So, this is the perfect combination.

I am not going to lie. I am a bit of a snob when it comes to Pride and Prejudice. I think it is a perfect book. I think it is the perfect book. I think it is the","A review of Pride and Prejudice and Zombies by Seth Grahame-Smith

Pride and Prejudice and Zombies by Seth Grahame-Smith

Pride and Prejudice and Zombies is a book that I am very excited about. It is a parody of Jane Austen’s Pride and Prejudice, with zombies added to the mix. I am not a big fan of Jane Austen, but I am a big fan of zombies. So, this is the perfect combination.

I am not going to lie. I am a bit of a snob when it comes to Pride and Prejudice. I think it is a perfect book. I think it is the perfect book. I think it is the",false
99,A review of 300: Rise of an Empire,0,"

I've been playing video games for as long as I can remember. I've played on the original NES, the Super Nintendo, the Sega Genesis, the Gamecube, the Xbox 360, the PlayStation 3, the Wii, and the Xbox One. I've played on my original Gameboy, my original Sega Genesis, my original Sega Master System, my original Sega Game Gear, my original Sega Mega Drive, my original Gameboy Color, my original Nintendo DS, my original PlayStation 2, my original PlayStation 3, my original Xbox 360, my original","A review of 300: Rise of an Empire

I've been playing video games for as long as I can remember. I've played on the original NES, the Super Nintendo, the Sega Genesis, the Gamecube, the Xbox 360, the PlayStation 3, the Wii, and the Xbox One. I've played on my original Gameboy, my original Sega Genesis, my original Sega Master System, my original Sega Game Gear, my original Sega Mega Drive, my original Gameboy Color, my original Nintendo DS, my original PlayStation 2, my original PlayStation 3, my original Xbox 360, my original",false
100,A review of London Has Fallen,0,", the sequel to Olympus Has Fallen

By:

02/09/2018

The second film in the Olympus Has Fallen franchise, London Has Fallen, is a sequel to the 2013 film Olympus Has Fallen. The film follows the same plot as the first film, with the same characters and the same events, but with a new cast and a new setting. The film follows Mike Banning (Aaron Eckhart), the president of the United States, who is held hostage in the White House by a terrorist group called the Red Circle. Banning's wife, Claire (","A review of London Has Fallen, the sequel to Olympus Has Fallen

By:

02/09/2018

The second film in the Olympus Has Fallen franchise, London Has Fallen, is a sequel to the 2013 film Olympus Has Fallen. The film follows the same plot as the first film, with the same characters and the same events, but with a new cast and a new setting. The film follows Mike Banning (Aaron Eckhart), the president of the United States, who is held hostage in the White House by a terrorist group called the Red Circle. Banning's wife, Claire (",false
